UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,9,4125397,2107219,2018178,1564001,1489456,316004,306199,32430,31459,97388,96715,5549,5465,91847,88884,1647540,1570415,362664,351762,54564,52817,130872,128669,12547,12264,1624293,1554186,1143311,1085537,292247,283389,18235,17605,92442,92030,3909,3732,74149,71893,1210939,1151283,330853,321241,33361,32208,120584,118895,9153,8846,482926,463992,420690,403919,23757,22810,14195,13854,4946,4685,1640,1733,17698,16991,436601,419132,31811,30521,21203,20609,10288,9774,3394,3418
R,7,2010,10,4186926,2142283,2044643,1591707,1509984,325908,314632,33388,31965,95274,94668,5767,5387,90239,88007,1673900,1589747,371617,360042,55985,53874,127423,125737,12614,12101,1658555,1582181,1169918,1107447,302198,291670,18972,18056,90333,89971,4061,3780,73073,71257,1236697,1172264,340142,329378,34472,33206,117453,116015,9254,8837,483728,462462,421789,402537,23710,22962,14416,13909,4941,4697,1706,1607,17166,16750,437203,417483,31475,30664,21513,20668,9970,9722,3360,3264
R,7,2010,11,4115408,2104929,2010479,1570559,1492107,317853,307254,32269,31294,91116,89902,5627,5175,87505,84747,1650077,1568946,361848,350556,54460,53076,122258,119540,12614,11702,1638607,1562469,1163896,1102021,294879,285003,18506,17845,86254,85214,3938,3647,71134,68739,1228785,1164548,331604,321210,34034,33096,112432,109934,9248,8603,466322,448010,406663,390086,22974,22251,13763,13449,4862,4688,1689,1528,16371,16008,421292,404398,30244,29346,20426,19980,9826,9606,3366,3099
R,7,2010,12,4113240,2103809,2009431,1569332,1490102,319829,309181,32259,31372,92544,91370,5584,5226,84261,82180,1645678,1564689,361946,350755,54182,52828,122210,119941,12155,11485,1643753,1568552,1167458,1105742,297441,287376,18456,18070,87861,86715,3987,3684,68550,66965,1229788,1166754,332725,322186,33814,33269,112784,110715,9023,8451,460056,440879,401874,384360,22388,21805,13803,13302,4683,4655,1597,1542,15711,15215,415890,397935,29221,28569,20368,19559,9426,9226,3132,3034
R,7,2010,13,4119535,2105048,2014487,1573150,1496816,319257,309355,32084,30916,93770,92227,5475,5115,81312,80058,1646852,1569144,359213,349317,53958,52601,122551,120084,11900,11437,1648770,1577948,1174587,1115904,297083,288060,18323,17752,89101,87668,3872,3630,65804,64934,1234494,1174709,330268,321392,33645,33064,113218,111033,8753,8453,456278,436539,398563,380912,22174,21295,13761,13164,4669,4559,1603,1485,15508,15124,412358,394435,28945,27925,20313,19537,9333,9051,3147,2984
R,7,2010,14,4145356,2122944,2022412,1590703,1505441,319800,310497,32197,30694,95194,92867,5576,5289,79474,77624,1662636,1575542,358231,348639,54169,52331,123434,120157,11909,11554,1668704,1588483,1193144,1126280,298048,289500,18510,17669,90624,88312,3954,3726,64424,62996,1251671,1183366,330074,321234,33944,32989,114355,111230,8819,8593,454240,433929,397559,379161,21752,20997,13687,13025,4570,4555,1622,1563,15050,14628,410965,392176,28157,27405,20225,19342,9079,8927,3090,2961
R,7,2010,15,4230739,2170433,2060306,1620689,1529765,338160,325535,32923,31431,95445,91964,5616,5497,77600,76114,1690434,1597977,375196,362824,55121,53181,123039,118601,12136,11836,1710898,1623421,1218346,1148081,315804,304042,19115,18169,90683,87488,3976,3860,62974,61781,1275071,1203615,346601,334986,34959,33797,113982,109859,8988,8788,459535,436885,402343,381684,22356,21493,13808,13262,4762,4476,1640,1637,14626,14333,415363,394362,28595,27838,20162,19384,9057,8742,3148,3048
R,7,2010,16,4312754,2214854,2097900,1647155,1550765,355208,341594,33737,32335,97686,92511,5748,5669,75320,75026,1714540,1617725,390289,377539,56167,54672,124643,118784,12316,12101,1750791,1659528,1240171,1167795,332605,319858,19893,18920,93082,87988,4124,4052,60916,60915,1294766,1222276,361682,349754,35964,35075,115729,110068,9207,9029,464063,438372,406984,382970,22603,21736,13844,13415,4604,4523,1624,1617,14404,14111,419774,395449,28607,27785,20203,19597,8914,8716,3109,3072
R,7,2010,17,4375326,2252370,2122956,1671817,1567712,367723,350678,35060,33031,99263,93799,5975,5677,72532,72059,1736423,1631794,400767,384399,57305,55356,125469,119202,12396,11966,1783215,1686571,1260559,1186206,344511,329055,20600,19596,94636,89237,4238,4050,58671,58427,1312925,1238273,371783,356895,36520,35754,116845,110718,9278,8952,469155,436385,411258,381506,23212,21623,14460,13435,4627,4562,1737,1627,13861,13632,423498,393521,28984,27504,20785,19602,8624,8484,3118,3014
R,7,2010,18,4490040,2305300,2184740,1712972,1613476,373650,360662,36532,33813,104971,99256,6275,5858,70900,71675,1775761,1676796,404502,393198,59157,56100,131103,125469,12755,12405,1825799,1741753,1292977,1227186,349983,337770,21389,20253,100144,94469,4360,4183,56946,57892,1343427,1278454,375051,364388,37576,36345,122287,116623,9462,9233,479501,442987,419995,386290,23667,22892,15143,13560,4827,4787,1915,1675,13954,13783,432334,398342,29451,28810,21581,19755,8816,8846,3293,3172
