UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2010,30,4306911,2168698,2138213,1670824,1596310,288641,314526,31483,28780,125606,143116,6750,6111,45394,49370,1709926,1638832,305047,333903,48593,46854,143317,162108,11905,11450,1698798,1717851,1254954,1227136,268275,292996,16148,16291,120911,138775,4672,4478,33838,38175,1283858,1259789,279958,307483,27587,29068,135556,154813,8723,8748,469900,420362,415870,369174,20366,21530,15335,12489,4695,4341,2078,1633,11556,11195,426068,379043,25089,26420,21006,17786,7761,7295,3182,2702
R,8,2010,31,4069308,2041265,2028043,1574001,1514320,269279,297474,29199,26797,120833,137927,6032,5627,41921,45898,1610128,1553719,284255,315283,45067,43737,137122,155716,10783,10528,1609323,1632355,1191201,1167002,250668,277131,15228,15022,116595,133851,4216,4087,31415,35262,1218041,1197095,261396,290222,25868,26914,130206,148861,7937,8008,431942,395688,382800,347318,18611,20343,13971,11775,4238,4076,1816,1540,10506,10636,392087,356624,22859,25061,19199,16823,6916,6855,2846,2520
R,8,2010,32,3968560,1986862,1981698,1536838,1484905,257948,286233,28105,26446,118027,134645,5761,5348,40183,44121,1571305,1522676,272158,303123,43518,43099,133811,151748,10137,9971,1561195,1588647,1158603,1139084,240044,266623,14559,14752,113911,130501,4092,3891,29986,33796,1184037,1167800,250159,278985,24901,26427,127053,144966,7527,7594,425667,393051,378235,345821,17904,19610,13546,11694,4116,4144,1669,1457,10197,10325,387268,354876,21999,24138,18617,16672,6758,6782,2610,2377
R,8,2010,33,3947106,1971009,1976097,1525508,1480905,254110,284573,28214,26317,118661,136001,5750,5376,38766,42925,1558838,1517500,267648,300809,43368,42776,133753,152717,10010,10001,1549636,1581537,1150796,1132587,236793,265221,14780,15007,114434,131928,4037,3886,28796,32908,1175279,1160427,246242,277114,25011,26630,126954,145985,7360,7554,421373,394560,374712,348318,17317,19352,13434,11310,4227,4073,1713,1490,9970,10017,383559,357073,21406,23695,18357,16146,6799,6732,2650,2447
R,8,2010,34,3824035,1909486,1914549,1474170,1434742,243705,272708,27186,25310,121753,136454,5363,5086,37309,40249,1506234,1468954,256344,287691,41820,40943,136500,152271,9564,9393,1496618,1526060,1106260,1090870,226928,254014,14120,14133,117719,132453,3829,3703,27762,30887,1129848,1116895,235677,264948,23982,25211,130087,145802,7130,7163,412868,388489,367910,343872,16777,18694,13066,11177,4034,4001,1534,1383,9547,9362,376386,352059,20667,22743,17838,15732,6413,6469,2434,2230
R,8,2010,35,3936401,1968816,1967585,1522907,1476491,250119,279774,27187,25808,127581,141555,5480,4918,35542,39039,1553141,1509634,262087,293995,41357,41087,141655,157016,9506,9007,1551565,1576112,1149042,1128318,233962,261774,14108,14550,123631,137670,3953,3607,26869,30193,1171642,1153724,242478,272153,23815,25444,135568,150879,7181,6887,417251,391473,373865,348173,16157,18000,13079,11258,3950,3885,1527,1311,8673,8846,381499,355910,19609,21842,17542,15643,6087,6137,2325,2120
R,8,2010,36,3845912,1916485,1929427,1482702,1448495,242441,273268,26562,24972,125900,140563,5017,4833,33863,37296,1511490,1479950,253685,286789,40307,39845,139281,155278,8857,8821,1516103,1548379,1123021,1108380,227502,256211,13842,14219,122272,136888,3640,3570,25826,29111,1144762,1132678,235522,266264,23406,24999,133701,149535,6745,6789,400382,381048,359681,340115,14939,17057,12720,10753,3628,3675,1377,1263,8037,8185,366728,347272,18163,20525,16901,14846,5580,5743,2112,2032
R,8,2010,37,3885520,1929286,1956234,1491178,1467089,247395,280173,26167,25184,126203,142259,4922,4781,33421,36748,1519497,1498012,258222,293362,39894,40073,139515,156774,8679,8672,1538888,1580392,1140150,1131419,232889,263536,13944,14509,122656,138553,3589,3558,25660,28817,1161655,1155412,240624,273354,23631,25475,134121,151047,6636,6708,390398,375842,351028,335670,14506,16637,12223,10675,3547,3706,1333,1223,7761,7931,357842,342600,17598,20008,16263,14598,5394,5727,2043,1964
R,8,2010,38,4061759,2018893,2042866,1569147,1542434,257749,290178,26679,25235,127044,143439,4918,4706,33356,36874,1597249,1573467,268372,303118,40859,40659,140100,157730,8706,8650,1630849,1669025,1220069,1208176,243393,273790,14479,14779,123438,139823,3590,3475,25880,28982,1241605,1232303,251119,283382,24736,26202,134691,152218,6662,6708,388044,373841,349078,334258,14356,16388,12200,10456,3606,3616,1328,1231,7476,7892,355644,341164,17253,19736,16123,14457,5409,5512,2044,1942
R,8,2010,39,4302901,2138050,2164851,1679171,1651918,268394,304219,27009,26105,124246,140104,4970,4770,34260,37735,1708121,1683677,279195,317328,41850,42263,137457,154371,8943,8970,1752771,1792661,1332540,1319553,254111,287741,15097,15421,120596,136511,3624,3554,26803,29881,1354964,1344456,261943,297528,26024,27641,132008,148821,6874,7016,385279,372190,346631,332365,14283,16478,11912,10684,3650,3593,1346,1216,7457,7854,353157,339221,17252,19800,15826,14622,5449,5550,2069,1954
R,8,2010,40,4391326,2190523,2200803,1724961,1687231,273721,303925,27387,25995,125488,141644,5075,4909,33891,37099,1753561,1718239,284351,316697,42276,42236,138289,155657,9097,9132,1802203,1833398,1375707,1358732,259201,287923,15184,15695,121879,137980,3752,3707,26480,29361,1397790,1383028,266943,297487,26174,27963,132878,150000,7068,7199,388320,367405,349254,328499,14520,16002,12203,10300,3609,3664,1323,1202,7411,7738,355771,335211,17408,19210,16102,14273,5411,5657,2029,1933
R,8,2010,41,4184817,2085256,2099561,1650046,1618904,254950,283765,25912,24775,118181,133428,4700,4591,31467,34098,1676674,1647437,264406,295086,40216,40226,129981,146123,8368,8421,1720915,1753636,1321869,1309367,241483,268825,14731,15000,114889,130004,3505,3452,24438,26988,1342337,1331743,248184,277163,25288,26759,125043,140959,6513,6609,364341,345925,328177,309537,13467,14940,11181,9775,3292,3424,1195,1139,7029,7110,334337,315694,16222,17923,14928,13467,4938,5164,1855,1812
R,8,2010,42,4082130,2031768,2050362,1605456,1577880,254223,283597,25225,24176,112918,128022,4442,4374,29504,32313,1630202,1604682,263002,294286,38955,39045,123922,139910,7906,8240,1679117,1714919,1287923,1277404,240838,268943,14327,14899,109830,124858,3270,3274,22929,25541,1306898,1298322,247050,276787,24564,26300,119296,135117,6136,6498,352651,335443,317533,300476,13385,14654,10898,9277,3088,3164,1172,1100,6575,6772,323304,306360,15952,17499,14391,12745,4626,4793,1770,1742
R,8,2010,43,4091875,2030686,2061189,1615541,1598889,253129,284669,24530,24158,104477,117791,4485,4331,28524,31351,1639462,1624905,261518,295264,38136,38950,114875,128810,7884,8011,1692388,1736375,1310485,1308014,240457,270291,14383,15234,101439,114784,3329,3258,22295,24794,1328937,1328338,246388,278075,24625,26622,110391,124251,6193,6346,338298,324814,305056,290875,12672,14378,10147,8924,3038,3007,1156,1073,6229,6557,310525,296567,15130,17189,13511,12328,4484,4559,1691,1665
R,8,2010,44,4161210,2065718,2095492,1639523,1623495,263041,293686,24961,24440,105386,118477,4396,4355,28411,31039,1663045,1649166,271470,303893,38805,39489,115530,129373,7897,8036,1731138,1775909,1338060,1337414,250121,279537,14820,15634,102517,115430,3314,3346,22306,24548,1356247,1357481,256077,286998,25441,27318,111226,124745,6256,6406,334580,319583,301463,286081,12920,14149,10141,8806,2869,3047,1082,1009,6105,6491,306798,291685,15393,16895,13364,12171,4304,4628,1641,1630
R,8,2010,45,4413293,2189715,2223578,1744743,1731692,276856,308473,26158,25684,108057,121049,4628,4541,29273,32139,1769119,1758201,285254,318910,40648,41529,118494,132106,8199,8386,1852196,1901108,1440531,1442872,264011,294166,15970,16876,105098,118022,3551,3523,23035,25649,1459443,1463768,269966,301870,27028,29366,114136,127525,6533,6746,337519,322470,304212,288820,12845,14307,10188,8808,2959,3027,1077,1018,6238,6490,309676,294433,15288,17040,13620,12163,4358,4581,1666,1640
R,8,2010,46,4528865,2239061,2289804,1794304,1794559,276508,309710,26042,25898,108403,123146,4417,4447,29387,32044,1818676,1820957,284773,319610,40976,42230,118753,134169,8048,8277,1916805,1975625,1504022,1513131,264042,295697,16280,17165,105653,120326,3404,3461,23404,25845,1523191,1534138,269960,303035,27959,30295,114621,129859,6454,6697,322256,314179,290282,281428,12466,14013,9762,8733,2750,2820,1013,986,5983,6199,295485,286819,14813,16575,13017,11935,4132,4310,1594,1580
R,8,2010,47,4533020,2236749,2296271,1796229,1806479,272788,305545,25574,25432,108980,122712,4200,4335,28978,31768,1820315,1832537,280718,315439,40405,41826,119167,133369,7669,8111,1930409,1994437,1520150,1536194,260995,292285,16321,17032,106306,119875,3255,3407,23382,25644,1539375,1556970,266703,299648,28100,30227,115224,129057,6230,6584,306340,301834,276079,270285,11793,13260,9253,8400,2674,2837,945,928,5596,6124,280940,275567,14015,15791,12305,11599,3943,4312,1439,1527
R,8,2010,48,4533187,2234829,2298358,1807275,1821799,269569,303190,24910,25262,100228,112549,4319,4314,28528,31244,1831074,1847349,277179,312915,39584,41718,110242,122913,7837,8039,1940424,2008056,1541753,1561643,258281,290713,16124,17082,97728,109855,3425,3401,23113,25362,1560837,1582157,263771,297948,27883,30455,106470,118815,6420,6518,294405,290302,265522,260156,11288,12477,8786,8180,2500,2694,894,913,5415,5882,270237,265192,13408,14967,11701,11263,3772,4098,1417,1521
R,8,2010,49,4587021,2256751,2330270,1835185,1856048,269250,304230,24378,25250,95507,109923,4111,4129,28320,30690,1858719,1881144,276745,313532,39260,41761,105396,120011,7523,7793,1975980,2050419,1582118,1605172,258471,291990,16028,17609,93046,107321,3271,3291,23046,25036,1601038,1625408,263927,298985,28021,31107,101686,116037,6165,6366,280771,279851,253067,250876,10779,12240,8350,7641,2461,2602,840,838,5274,5654,257681,255736,12818,14547,11239,10654,3710,3974,1358,1427
R,8,2010,50,4647843,2290778,2357065,1854550,1869035,277959,311492,24785,25461,100917,116169,4219,4192,28348,30716,1878222,1894041,285383,320959,39701,41888,110763,126275,7604,7828,2008122,2077051,1599779,1617988,267011,299279,16359,17822,98473,113549,3361,3365,23139,25048,1618897,1638115,272413,306399,28437,31260,107132,122268,6223,6442,282656,280014,254771,251047,10948,12213,8426,7639,2444,2620,858,827,5209,5668,259325,255926,12970,14560,11264,10628,3631,4007,1381,1386
R,8,2010,51,4515196,2218975,2296221,1805584,1830564,265933,300185,23117,24000,93712,108627,3893,3857,26736,28988,1827799,1854356,272845,308833,37448,39941,102976,117947,6995,7150,1961873,2038201,1573754,1599194,255954,288879,15559,16881,91464,106221,3139,3131,22003,23895,1591893,1618601,261030,295406,27282,30097,99603,114359,5774,5947,257102,258020,231830,231370,9979,11306,7558,7119,2248,2406,754,726,4733,5093,235906,235755,11815,13427,10166,9844,3373,3588,1221,1203
R,8,2010,52,4470043,2192057,2277986,1789411,1823845,257383,290381,22075,23230,93712,108876,3665,3730,25811,27924,1810787,1846604,264085,298771,36094,38724,102514,117826,6642,6846,1951986,2033222,1573163,1604152,247777,279647,15097,16636,91651,106702,2959,3012,21339,23073,1590666,1622772,252729,286012,26681,29502,99440,114491,5483,5680,240071,244764,216248,219693,9606,10734,6978,6594,2061,2174,706,718,4472,4851,220121,223832,11356,12759,9413,9222,3074,3335,1159,1166
R,8,2010,53,4444601,2173705,2270896,1778658,1821488,253662,289717,21932,22672,90820,106340,3579,3516,25054,27163,1799368,1843718,260212,297769,35786,38255,99188,114567,6453,6615,1942173,2032771,1570063,1607541,244522,279347,14937,16278,88856,104272,2922,2828,20873,22505,1587144,1625744,249446,285477,26447,29342,96318,111402,5401,5467,231532,238125,208595,213947,9140,10370,6995,6394,1964,2068,657,688,4181,4658,212224,217974,10766,12292,9339,8913,2870,3165,1052,1148
R,8,2010,54,4300458,2097628,2202830,1717890,1766079,242763,279257,20667,21939,89120,105916,3326,3417,23862,26222,1737696,1787476,248906,286989,33842,37004,97014,113989,6095,6345,1878505,1975173,1520555,1561553,234086,269375,14135,15944,87226,103746,2698,2830,19805,21725,1536836,1579092,238613,275237,25048,28594,94222,110749,5079,5315,219123,227657,197335,204526,8677,9882,6532,5995,1894,2170,628,587,4057,4497,200860,208384,10293,11752,8794,8410,2792,3240,1016,1030
R,8,2010,55,4257090,2074454,2182636,1704544,1756679,235536,270959,19996,20874,88101,105895,3187,3352,23090,24877,1723546,1776863,241493,278315,32915,35039,95715,113630,5891,6217,1863015,1961404,1513475,1557022,227244,261734,13975,15261,86308,103912,2618,2748,19395,20727,1529283,1573600,231718,267374,24857,27197,93104,110691,4961,5219,211439,221232,191069,199657,8292,9225,6021,5613,1793,1983,569,604,3695,4150,194263,203263,9775,10941,8058,7842,2611,2939,930,998
R,8,2010,56,4108848,1992824,2116024,1646938,1712331,220342,257834,18528,19631,82741,99747,2923,3130,21352,23351,1664668,1731261,225783,264688,30753,33282,89596,106691,5268,5831,1799829,1910782,1472293,1526800,212673,249409,13188,14558,81196,97904,2416,2567,18063,19544,1487160,1542446,216770,254659,23617,26139,87306,104016,4475,4915,192995,205242,174645,185531,7669,8425,5340,5073,1545,1843,507,563,3289,3807,177508,188815,9013,10029,7136,7143,2290,2675,793,916
R,8,2010,57,3951516,1912105,2039411,1588442,1659304,205032,241944,17373,18311,78521,94833,2772,2881,19965,22138,1604980,1677349,209940,248332,28865,31317,84937,101477,5028,5420,1733626,1847933,1426941,1485999,198028,234005,12408,13690,77011,93195,2311,2400,16927,18644,1440858,1501002,201713,238952,22222,24798,82746,99027,4281,4615,178479,191478,161501,173305,7004,7939,4965,4621,1510,1638,461,481,3038,3494,164122,176347,8227,9380,6643,6519,2191,2450,747,805
R,8,2010,58,3821689,1847689,1974000,1542450,1611056,193291,231121,15984,17280,74851,91412,2614,2782,18499,20349,1557721,1627670,197929,236930,26781,29481,80647,97302,4789,5121,1682294,1795349,1392433,1449343,186885,223662,11603,12961,73465,89854,2195,2335,15713,17194,1405283,1463212,190416,228161,20836,23459,78655,95029,4084,4351,165395,178651,150017,161713,6406,7459,4381,4319,1386,1558,419,447,2786,3155,152438,164458,7513,8769,5945,6022,1992,2273,705,770
R,8,2010,59,3698925,1782217,1916708,1488087,1562856,188399,227644,15424,16572,70342,87652,2377,2565,17588,19419,1502605,1578641,192787,233362,25927,28350,75674,93088,4403,4781,1623655,1744699,1344021,1407215,182257,220479,11337,12388,69079,86101,2020,2154,14941,16362,1356235,1420327,185589,224924,20353,22522,73836,90837,3813,4068,158562,172009,144066,155641,6142,7165,4087,4184,1263,1551,357,411,2647,3057,146370,158314,7198,8438,5574,5828,1838,2251,590,713
R,8,2010,60,3616174,1741321,1874853,1448465,1524626,183832,221216,15085,15935,74395,91801,2442,2528,17102,18747,1462567,1539756,188178,226751,25333,27135,79530,97275,4419,4735,1589734,1706644,1310869,1372180,177843,214055,11211,12100,73210,90323,2037,2146,14564,15840,1322784,1384819,181162,218347,20009,21759,77780,95085,3799,4061,151587,168209,137596,152446,5989,7161,3874,3835,1185,1478,405,382,2538,2907,139783,154937,7016,8404,5324,5376,1750,2190,620,674
R,8,2010,61,3528018,1695397,1832621,1423983,1505350,169991,206950,14222,14925,69036,85293,2333,2446,15832,17657,1437075,1519758,173838,212024,23814,25755,73752,90140,4187,4444,1555545,1677088,1296775,1363894,164655,200553,10649,11440,67912,84026,1973,2070,13581,15105,1307925,1376113,167602,204554,19004,20923,72103,88277,3590,3817,139852,155533,127208,141456,5336,6397,3573,3485,1124,1267,360,376,2251,2552,129150,143645,6236,7470,4810,4832,1649,1863,597,627
R,8,2010,62,3491438,1676692,1814746,1419999,1504136,160624,196675,13328,14235,65499,80397,2117,2264,15125,17039,1432513,1518128,164368,201419,22535,24704,69902,85090,3855,4207,1543680,1665772,1298853,1368499,155549,190740,10097,10971,64450,79145,1786,1915,12945,14502,1309455,1380271,158461,194461,18085,20082,68356,83253,3336,3616,133012,148974,121146,135637,5075,5935,3231,3264,1049,1252,331,349,2180,2537,123058,137857,5907,6958,4450,4622,1546,1837,519,591
R,8,2010,63,3661391,1758246,1903145,1514348,1607897,152090,186688,13445,13907,60979,75495,2033,2019,15351,17139,1527172,1622120,155754,191437,23092,24720,65184,79984,3781,3860,1632077,1760039,1399193,1477245,147530,181137,10298,10863,60018,74302,1730,1708,13308,14784,1410253,1489405,150418,184939,18820,20378,63717,78264,3270,3351,126169,143106,115155,130652,4560,5551,3147,3044,961,1193,303,311,2043,2355,116919,132715,5336,6498,4272,4342,1467,1720,511,509
R,8,2010,64,2767167,1321657,1445510,1123474,1203057,121067,151550,10414,11230,52916,64299,1865,1835,11921,13539,1133418,1214181,123921,155251,17572,19330,56443,68189,3316,3457,1212807,1319437,1024086,1088146,116948,146379,7798,8596,52117,63286,1604,1571,10254,11459,1032601,1097464,119135,149248,14054,15574,55260,66688,2877,3016,108850,126073,99388,114911,4119,5171,2616,2634,799,1013,261,264,1667,2080,100817,116717,4786,6003,3518,3756,1183,1501,439,441
R,8,2010,65,2673557,1270567,1402990,1079731,1167186,117656,149181,9817,10756,50446,61317,1642,1765,11275,12785,1089111,1177711,120334,152664,16595,18445,53749,64943,3095,3301,1167400,1283447,985333,1057830,113944,144484,7430,8314,49629,60383,1395,1505,9669,10931,993300,1066754,116010,147194,13324,15024,52562,63565,2679,2861,103167,119543,94398,109356,3712,4697,2387,2442,817,934,247,260,1606,1854,95811,110957,4324,5470,3271,3421,1187,1378,416,440
R,8,2010,66,2620234,1239331,1380903,1060942,1158986,109962,140720,9234,10073,47194,57189,1508,1586,10491,12349,1069696,1169145,112385,144153,15587,17635,50243,60543,2830,3093,1146043,1269126,975474,1056607,106487,136476,7078,7794,46541,56292,1309,1360,9154,10597,983058,1065260,108413,139201,12722,14418,49270,59236,2493,2704,93288,111777,85468,102379,3475,4244,2156,2279,653,897,199,226,1337,1752,86638,103885,3972,4952,2865,3217,973,1307,337,389
R,8,2010,67,2697508,1271691,1425817,1101087,1211003,106367,139361,8692,9677,44121,52300,1348,1436,10076,12040,1109559,1221001,108678,142607,14967,17155,46857,55471,2580,2831,1183865,1318111,1020452,1112530,103165,135032,6829,7509,43444,51505,1180,1224,8795,10311,1027847,1121044,104968,137532,12436,14098,45855,54269,2265,2473,87826,107706,80635,98473,3202,4329,1863,2168,677,795,168,212,1281,1729,81712,99957,3710,5075,2531,3057,1002,1202,315,358
R,8,2010,68,2380063,1115705,1264358,959320,1066084,95938,126377,7897,8670,42290,51318,1167,1353,9093,10556,966853,1074826,98067,129199,13529,15203,44872,54161,2242,2534,1036378,1166746,886417,976400,93049,122769,6222,6736,41716,50583,1004,1128,7970,9130,892994,983900,94755,125003,11247,12506,44023,53099,1955,2191,79327,97612,72903,89684,2889,3608,1675,1934,574,735,163,225,1123,1426,73859,90926,3312,4196,2282,2697,849,1062,287,343
R,8,2010,69,2179875,1013052,1166823,869472,981382,87734,119073,7264,8008,39265,47284,1106,1173,8211,9903,876329,989570,89594,121735,12292,14073,41662,50036,2103,2331,939308,1075151,801641,897037,85099,115673,5714,6330,38731,46598,973,999,7150,8514,807584,904036,86547,117762,10184,11660,40861,49006,1859,2024,73744,91672,67831,84345,2635,3400,1550,1678,534,686,133,174,1061,1389,68745,85534,3047,3973,2108,2413,801,1030,244,307
R,8,2010,70,2069558,957138,1112420,817827,932427,84722,115579,6880,7666,38783,46196,1092,1221,7834,9331,824329,940148,86530,118124,11553,13295,41191,48771,2041,2325,885795,1022693,752221,849961,82192,112151,5353,6022,38229,45537,941,1010,6859,8012,757900,856534,83617,114144,9490,10953,40392,47810,1793,1984,71343,89727,65606,82466,2530,3428,1527,1644,554,659,151,211,975,1319,66429,83614,2913,3980,2063,2342,799,961,248,341
R,8,2010,71,1956647,904427,1052220,778016,888748,77188,105226,6015,6908,35338,41596,898,1141,6972,8601,783870,895869,78784,107505,10197,12091,37414,44016,1740,2192,838470,968532,717299,811668,74742,102054,4676,5444,34883,41000,769,979,6101,7387,722384,817771,76009,103803,8383,9998,36743,43127,1542,1890,65957,83688,60717,77080,2446,3172,1339,1464,455,596,129,162,871,1214,61486,78098,2775,3702,1814,2093,671,889,198,302
R,8,2010,72,1888421,865205,1023216,746701,866436,72032,101197,5655,6716,33257,39866,890,1050,6670,7951,752276,873017,73561,103361,9669,11397,35255,42142,1654,1996,803489,943341,689755,792985,69869,98118,4485,5290,32813,39314,750,857,5817,6777,694588,798558,71069,99798,8048,9380,34599,41302,1424,1683,61716,79875,56946,73451,2163,3079,1170,1426,444,552,140,193,853,1174,57688,74459,2492,3563,1621,2017,656,840,230,313
R,8,2010,73,1758130,798517,959613,689550,812429,66311,94954,5060,6040,30698,37705,808,954,6090,7531,694726,818693,67721,96981,8650,10448,32571,39860,1489,1875,741255,884804,636692,743545,64258,92127,3977,4709,30312,37131,691,800,5325,6492,641194,748901,65346,93716,7186,8593,31998,39044,1300,1621,57262,74809,52858,68884,2053,2827,1083,1331,386,574,117,154,765,1039,53532,69792,2375,3265,1464,1855,573,816,189,254
R,8,2010,74,1687341,759638,927703,657060,785909,63174,92568,4675,5726,28385,35634,716,858,5628,7008,661764,791701,64459,94510,7942,9889,30149,37606,1409,1637,705517,856282,607036,720031,61210,89901,3697,4476,28035,35136,614,730,4925,6008,611139,724957,62201,91417,6600,8114,29629,36877,1234,1429,54121,71421,50024,65878,1964,2667,978,1250,350,498,102,128,703,1000,50625,66744,2258,3093,1342,1775,520,729,175,208
R,8,2010,75,1633956,726937,907019,631424,770997,59121,88946,4350,5477,26171,33959,667,805,5204,6835,635793,776625,60308,90745,7360,9493,27758,35947,1350,1602,675588,837462,583836,706815,57356,86372,3434,4240,25820,33458,579,667,4563,5910,587649,711648,58291,87788,6130,7799,27232,35217,1194,1365,51349,69557,47588,64182,1765,2574,916,1237,351,501,88,138,641,925,48144,64977,2017,2957,1230,1694,526,730,156,237
R,8,2010,76,1492634,658796,833838,573472,709840,52786,81336,3725,4765,23510,30957,633,742,4670,6198,577449,715033,53843,83000,6379,8362,24985,32809,1188,1462,613077,771497,531020,652248,51291,79034,2905,3690,23215,30505,535,638,4111,5382,534507,656740,52125,80339,5287,6877,24540,32151,1041,1275,45719,62341,42452,57592,1495,2302,820,1075,295,452,98,104,559,816,42942,58293,1718,2661,1092,1485,445,658,147,187
R,8,2010,77,1443667,628708,814959,549923,696178,48721,77444,3451,4534,21820,30308,552,667,4241,5828,553509,701014,49677,78976,5843,7932,23207,31998,1054,1404,587170,756337,511362,641909,47290,75289,2746,3578,21544,29905,475,574,3753,5082,514519,646103,48053,76516,4890,6605,22807,31417,932,1239,41538,58622,38561,54269,1431,2155,705,956,276,403,77,93,488,746,38990,54911,1624,2460,953,1327,400,581,122,165
R,8,2010,78,1404025,603556,800469,531961,689463,44185,72554,3066,4238,19906,27951,502,617,3936,5646,535308,694180,45095,74070,5260,7502,21174,29554,1012,1303,563839,743978,494912,637140,42962,70526,2384,3299,19642,27563,430,536,3509,4914,497885,641216,43706,71764,4350,6193,20805,28988,893,1134,39717,56491,37049,52323,1223,2028,682,939,264,388,72,81,427,732,37423,52964,1389,2306,910,1309,369,566,119,169
R,8,2010,79,1350767,572903,777864,508929,675399,39159,66690,2703,3865,18022,26171,455,564,3635,5175,512023,679704,39971,68111,4725,6847,19235,27677,904,1172,535327,724311,473844,625753,38024,64822,2062,2944,17820,25827,392,479,3185,4486,476545,629457,38667,65946,3851,5579,18912,27158,795,1031,37576,53553,35085,49646,1135,1868,641,921,202,344,63,85,450,689,35478,50247,1304,2165,874,1268,323,519,109,141
R,8,2010,80,1322578,550904,771674,489156,670018,37845,66211,2674,3730,17391,26082,440,568,3398,5065,492041,674241,38611,67556,4593,6646,18465,27557,864,1169,514912,719109,455572,621131,36695,64449,2052,2884,17207,25752,389,477,2997,4416,458110,624797,37313,65503,3754,5487,18181,27068,772,1011,35992,52565,33584,48887,1150,1762,622,846,184,330,51,91,401,649,33931,49444,1298,2053,839,1159,284,489,92,158
R,8,2010,81,1214251,496854,717397,443684,626272,32507,60056,2275,3099,14935,22865,379,516,3074,4589,446269,630076,33219,61341,4045,5746,15884,24148,759,1073,465351,670776,414336,582939,31519,58427,1747,2390,14739,22570,329,441,2681,4009,416575,586237,32076,59468,3331,4746,15580,23718,662,945,31503,46621,29348,43333,988,1629,528,709,196,295,50,75,393,580,29694,43839,1143,1873,714,1000,304,430,97,128
R,8,2010,82,1157521,463087,694434,415214,609297,29336,56242,2026,2963,13463,21110,287,435,2761,4387,417549,612942,29938,57428,3576,5493,14355,22353,645,1001,434904,651358,388849,569329,28490,54710,1550,2282,13319,20837,242,361,2454,3839,390916,572485,28988,55665,2942,4547,14139,21951,567,865,28183,43076,26365,39968,846,1532,476,681,144,273,45,74,307,548,26633,40457,950,1763,634,946,216,402,78,136
R,8,2010,83,1082557,423945,658612,380549,580017,26711,52315,1718,2753,12224,19173,251,377,2492,3977,382661,583362,27298,53383,3133,5079,12992,20267,538,848,399409,619836,357497,544017,26028,50918,1364,2146,12091,18925,213,316,2216,3514,359369,546954,26510,51785,2634,4248,12790,19908,474,737,24536,38776,23052,36000,683,1397,354,607,133,248,38,61,276,463,23292,36408,788,1598,499,831,202,359,64,111
R,8,2010,84,989313,377120,612193,339012,540265,23661,48275,1505,2411,10580,17250,203,371,2159,3621,340846,543300,24172,49297,2726,4484,11241,18220,457,799,355273,576903,318594,507435,23008,47078,1144,1879,10450,17009,172,314,1905,3188,320205,510095,23419,47911,2240,3741,11041,17882,400,704,21847,35290,20418,32830,653,1197,361,532,130,241,31,57,254,433,20641,33205,753,1386,486,743,200,338,57,95
R,8,2010,85,914503,337853,576650,303950,510643,20836,44191,1338,2192,9651,15803,169,345,1909,3476,305567,513552,21272,45265,2398,4210,10266,16664,406,711,318927,544818,286248,481058,20297,43070,1009,1712,9538,15586,140,300,1695,3092,287685,483633,20654,43975,1958,3546,10089,16353,350,627,18926,31832,17702,29585,539,1121,329,480,113,217,29,45,214,384,17882,29919,618,1290,440,664,177,311,56,84
R,8,2010,86,824247,296590,527657,267179,469698,17979,39113,1108,1959,8521,13721,157,279,1646,2887,268584,472115,18390,39949,2034,3644,9049,14488,323,605,279985,500314,251648,444305,17480,38150,843,1515,8412,13532,134,239,1468,2573,252901,446451,17816,38849,1681,3037,8890,14224,284,538,16605,27343,15531,25393,499,963,265,444,109,189,23,40,178,314,15683,25664,574,1100,353,607,159,264,39,67
